iter	Passed	Remaining
0	1	137
1	2	125
2	3	121
3	4	113
4	5	111
5	7	110
6	8	109
7	9	109
8	10	108
9	11	107
10	13	106
11	14	105
12	15	103
13	16	102
14	17	100
15	18	99
16	20	98
17	21	97
18	22	95
19	23	95
20	25	95
21	26	95
22	28	94
23	29	93
24	30	92
25	32	91
26	33	90
27	34	89
28	35	87
29	37	86
30	38	85
31	39	84
32	40	83
33	42	81
34	43	80
35	44	78
36	45	77
37	46	75
38	47	74
39	48	73
40	49	71
41	50	69
42	51	68
43	52	67
44	53	65
45	54	64
46	56	63
47	57	61
48	58	60
49	59	59
50	60	58
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	67	50
57	68	49
58	69	48
59	70	47
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	81	35
70	82	33
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	89	26
77	90	25
78	92	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	99	16
86	101	15
87	102	13
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
